Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Dec 11 00:44 2022
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'wave.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
                6618@00004180: $ 5 <= 00003248
                6626@00004184: $ 4 <= 0000324c
                6630@00004188: $ 1 <= 00000006
                6634@0000418c: $ 6 <= 00000007
                6666@00004180: $ 5 <= 0000324c
                6674@00004184: $ 4 <= 00003250
                6678@00004188: $ 1 <= 00000009
                6682@0000418c: $ 6 <= 0000000a
                6714@00004180: $ 5 <= 00003250
                6722@00004184: $ 4 <= 00003254
                6726@00004188: $ 1 <= 0000000c
                6730@0000418c: $ 6 <= 0000000d
                6762@00004180: $ 5 <= 00003254
                6770@00004184: $ 4 <= 00003258
                6774@00004188: $ 1 <= 0000000f
                6778@0000418c: $ 6 <= 00000010
                6810@00004180: $ 5 <= 00003258
                6818@00004184: $ 4 <= 0000325c
                6822@00004188: $ 1 <= 00000012
                6826@0000418c: $ 6 <= 00000013
                6858@00004180: $ 5 <= 0000325c
                6866@00004184: $ 4 <= 00003260
                6870@00004188: $ 1 <= 00000015
                6874@0000418c: $ 6 <= 00000016
                6906@00004180: $ 5 <= 00003260
                6914@00004184: $ 4 <= 00003264
                6918@00004188: $ 1 <= 00000018
                6922@0000418c: $ 6 <= 00000019
                6954@00004180: $ 5 <= 00003264
                6962@00004184: $ 4 <= 00003268
                6966@00004188: $ 1 <= 0000001b
                6970@0000418c: $ 6 <= 0000001c
                7002@00004180: $ 5 <= 00003268
                7010@00004184: $ 4 <= 0000326c
                7014@00004188: $ 1 <= 0000001e
